competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 Grand,1,0,1,0,0,1,0,1,0,73.20%,86.00%,66.971725
3 Musketeers,1,0,0,0,1,0,0,1,0,60.40%,51.10%,67.602936
One dime,0,0,0,0,0,0,0,0,0,1.10%,11.60%,32.261086
One quarter,0,0,0,0,0,0,0,0,0,1.10%,51.10%,46.116505
Air Heads,0,1,0,0,0,0,0,0,0,90.60%,51.10%,52.341465
Almond Joy,1,0,0,1,0,0,0,1,0,46.50%,76.70%,50.347546
Baby Ruth,1,0,1,1,1,0,0,1,0,60.40%,76.70%,56.914547
Boston Baked Beans,0,0,0,1,0,0,0,0,1,31.30%,51.10%,23.417824
Candy Corn,0,0,0,0,0,0,0,0,1,90.60%,32.50%,38.010963
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,60.40%,32.50%,34.517681
Charleston Chew,1,0,0,0,1,0,0,1,0,60.40%,51.10%,38.975037
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,73.20%,51.10%,36.017628
Chiclets,0,1,0,0,0,0,0,0,1,4.60%,32.50%,24.524988
Dots,0,1,0,0,0,0,0,0,1,73.20%,51.10%,42.272076
Dum Dums,0,1,0,0,0,0,1,0,0,73.20%,3.40%,39.460556
Fruit Chews,0,1,0,0,0,0,0,0,1,12.70%,3.40%,43.088924
Fun Dip,0,1,0,0,0,0,1,0,0,73.20%,32.50%,39.185505
Gobstopper,0,1,0,0,0,0,1,0,1,90.60%,45.30%,46.783348
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,46.50%,46.50%,57.11974
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,46.50%,46.50%,34.158958
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,46.50%,46.50%,51.41243
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,46.50%,46.50%,42.178772
Hershey's Kisses,1,0,0,0,0,0,0,0,1,12.70%,9.30%,55.375454
Hershey's Krackel,1,0,0,0,0,1,0,1,0,43.00%,91.80%,62.284481
Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,43.00%,91.80%,56.490501
Hershey's Special Dark,1,0,0,0,0,0,0,1,0,43.00%,91.80%,59.236122
Jawbusters,0,1,0,0,0,0,1,0,1,9.30%,51.10%,28.127439
Junior Mints,1,0,0,0,0,0,0,0,1,19.70%,51.10%,57.21925
Kit Kat,1,0,0,0,0,1,0,1,0,31.30%,51.10%,76.7686
Laffy Taffy,0,1,0,0,0,0,0,0,0,22.00%,11.60%,41.389557
Lemonhead,0,1,0,0,0,0,1,0,0,4.60%,10.40%,39.141056
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,26.70%,27.90%,52.911392
Peanut butter M&M's,1,0,0,1,0,0,0,0,1,82.50%,65.10%,71.46505
M&M's,1,0,0,0,0,0,0,0,1,82.50%,65.10%,66.574585
Mike & Ike,0,1,0,0,0,0,0,0,1,87.20%,32.50%,46.411716
Milk Duds,1,0,1,0,0,0,0,0,1,30.20%,51.10%,55.064072
Milky Way,1,0,1,0,1,0,0,1,0,60.40%,65.10%,73.099556
Milky Way Midnight,1,0,1,0,1,0,0,1,0,73.20%,44.10%,60.800701
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,96.50%,86.00%,64.35334
Mounds,1,0,0,0,0,0,0,1,0,31.30%,86.00%,47.829754
Mr Good Bar,1,0,0,1,0,0,0,1,0,31.30%,91.80%,54.526451
Nerds,0,1,0,0,0,0,1,0,1,84.80%,32.50%,55.354046
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,60.40%,76.70%,70.735641
Nestle Crunch,1,0,0,0,0,1,0,1,0,31.30%,76.70%,66.47068
Nik L Nip,0,1,0,0,0,0,0,0,1,19.70%,97.60%,22.445341
Now & Later,0,1,0,0,0,0,0,0,1,22.00%,32.50%,39.4468
Payday,0,0,0,1,1,0,0,1,0,46.50%,76.70%,46.296597
Peanut M&Ms,1,0,0,1,0,0,0,0,1,59.30%,65.10%,69.483788
Pixie Sticks,0,0,0,0,0,0,0,0,1,9.30%,2.30%,37.722336
Pop Rocks,0,1,0,0,0,0,1,0,1,60.40%,83.70%,41.265511
Red vines,0,1,0,0,0,0,0,0,1,58.10%,11.60%,37.348522
Reese's Miniatures,1,0,0,1,0,0,0,0,0,3.40%,27.90%,81.866257
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,72.00%,65.10%,84.18029
Reese's pieces,1,0,0,1,0,0,0,0,1,40.60%,65.10%,73.43499
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,98.80%,65.10%,72.887901
Ring pop,0,1,0,0,0,0,1,0,0,73.20%,96.50%,35.290756
Rolo,1,0,1,0,0,0,0,0,1,86.00%,86.00%,65.716286
Root Beer Barrels,0,0,0,0,0,0,1,0,1,73.20%,6.90%,29.703691
Runts,0,1,0,0,0,0,1,0,1,87.20%,27.90%,42.849144
Sixlets,1,0,0,0,0,0,0,0,1,22.00%,8.10%,34.722
Skittles original,0,1,0,0,0,0,0,0,1,94.10%,22.00%,63.08514
Skittles wildberry,0,1,0,0,0,0,0,0,1,94.10%,22.00%,55.103695
Nestle Smarties,1,0,0,0,0,0,0,0,1,26.70%,97.60%,37.887188
Smarties candy,0,1,0,0,0,0,1,0,1,26.70%,11.60%,45.995827
Snickers,1,0,1,1,1,0,0,1,0,54.60%,65.10%,76.673782
Snickers Crisper,1,0,1,1,0,1,0,1,0,60.40%,65.10%,59.529251
Sour Patch Kids,0,1,0,0,0,0,0,0,1,6.90%,11.60%,59.863998
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,6.90%,11.60%,52.825947
Starburst,0,1,0,0,0,0,0,0,1,15.10%,22.00%,67.037628
Strawberry bon bons,0,1,0,0,0,0,1,0,1,56.90%,5.80%,34.578991
Sugar Babies,0,0,1,0,0,0,0,0,1,96.50%,76.70%,33.43755
Sugar Daddy,0,0,1,0,0,0,0,0,0,41.80%,32.50%,32.230995
Super Bubble,0,1,0,0,0,0,0,0,0,16.20%,11.60%,27.303865
Swedish Fish,0,1,0,0,0,0,0,0,1,60.40%,75.50%,54.861111
Tootsie Pop,1,1,0,0,0,0,1,0,0,60.40%,32.50%,48.982651
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,31.30%,51.10%,43.068897
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,17.40%,1.10%,45.736748
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,46.50%,32.50%,49.653503
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,31.30%,25.50%,47.173229
Twix,1,0,1,0,0,1,0,1,0,54.60%,90.60%,81.642914
Twizzlers,0,1,0,0,0,0,0,0,0,22.00%,11.60%,45.466282
Warheads,0,1,0,0,0,0,1,0,0,9.30%,11.60%,39.011898
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,31.30%,31.30%,44.375519
Werther's Original Caramel,0,0,1,0,0,0,1,0,0,18.60%,26.70%,41.904308
Whoppers,1,0,0,0,0,1,0,0,1,87.20%,84.80%,49.524113
